Vehicle_Type,Brand,Model,Fuel_Type,Transmission,Drive_Type,Year,Month,Day,Week,Dealer,Region_Code,Currency,Price_USD,Mileage_KM
Sedan,Toyota,Camry,Gasoline,Automatic,FWD,2018,1,12,2,AutoHub Moscow,RU-MOW,USD,21900,112000
Sedan,Toyota,Camry,Gasoline,Automatic,FWD,2019,2,15,7,AutoHub Moscow,RU-MOW,USD,23800,94000
Sedan,Toyota,Camry,Gasoline,Automatic,FWD,2020,3,18,11,AutoHub Moscow,RU-MOW,USD,25700,76000
Sedan,Toyota,Camry,Gasoline,Automatic,FWD,2021,4,22,16,AutoHub Moscow,RU-MOW,USD,27900,52000
Sedan,Toyota,Corolla,Gasoline,CVT,FWD,2019,5,14,20,Neva Cars,RU-SPE,USD,17600,87000
Sedan,Toyota,Corolla,Gasoline,CVT,FWD,2021,6,9,24,Neva Cars,RU-SPE,USD,20900,43000
Sedan,Hyundai,Elantra,Gasoline,Automatic,FWD,2020,7,11,28,Neva Cars,RU-SPE,USD,18900,69000
Sedan,Hyundai,Elantra,Gasoline,Automatic,FWD,2022,8,19,33,Neva Cars,RU-SPE,USD,24400,24000
Sedan,Hyundai,Sonata,Gasoline,Automatic,FWD,2021,9,10,37,Volga Motors,RU-NIZ,USD,26700,47000
Sedan,Hyundai,Sonata,Hybrid,Automatic,FWD,2023,10,6,40,Volga Motors,RU-NIZ,USD,31800,12000
Sedan,Kia,K5,Gasoline,Automatic,FWD,2021,11,17,46,Volga Motors,RU-NIZ,USD,25200,51000
Sedan,Kia,K5,Gasoline,Automatic,FWD,2022,12,21,51,Volga Motors,RU-NIZ,USD,27600,26000
Sedan,Kia,Cerato,Gasoline,Automatic,FWD,2020,1,16,3,Auto Plaza South,RU-KDA,USD,18200,72000
Sedan,Kia,Cerato,Gasoline,Automatic,FWD,2021,2,18,8,Auto Plaza South,RU-KDA,USD,20100,49000
Sedan,Volkswagen,Passat,Gasoline,Automatic,FWD,2019,3,20,12,Auto Plaza South,RU-KDA,USD,22800,83000
Sedan,Volkswagen,Passat,Gasoline,Automatic,FWD,2021,4,12,15,Auto Plaza South,RU-KDA,USD,28400,41000
Sedan,BMW,320i,Gasoline,Automatic,RWD,2020,5,13,19,Premium Drive,RU-MOW,USD,33600,61000
Sedan,BMW,320i,Gasoline,Automatic,RWD,2022,6,24,25,Premium Drive,RU-MOW,USD,40100,22000
Sedan,Mercedes,C200,Gasoline,Automatic,RWD,2021,7,7,27,Premium Drive,RU-MOW,USD,38900,38000
Sedan,Mercedes,C200,Gasoline,Automatic,RWD,2023,8,28,35,Premium Drive,RU-MOW,USD,47200,11000
Sedan,Audi,A4,Gasoline,Automatic,AWD,2020,9,14,38,Premium Drive,RU-MOW,USD,34800,58000
Sedan,Audi,A4,Gasoline,Automatic,AWD,2022,10,11,41,Premium Drive,RU-MOW,USD,41800,19000
Sedan,Skoda,Octavia,Gasoline,Automatic,FWD,2019,11,9,45,Central Auto,RU-EKB,USD,17900,92000
Sedan,Skoda,Octavia,Gasoline,Automatic,FWD,2021,12,15,50,Central Auto,RU-EKB,USD,22600,48000
SUV,Toyota,RAV4,Gasoline,Automatic,AWD,2019,1,17,3,AutoHub Moscow,RU-MOW,USD,25900,98000
SUV,Toyota,RAV4,Hybrid,Automatic,AWD,2021,2,26,8,AutoHub Moscow,RU-MOW,USD,33800,42000
SUV,Toyota,RAV4,Hybrid,Automatic,AWD,2023,3,21,12,AutoHub Moscow,RU-MOW,USD,38900,14000
SUV,Hyundai,Tucson,Gasoline,Automatic,AWD,2020,4,11,15,Neva Cars,RU-SPE,USD,24800,73000
